"APPLICATION_NAME","FULL_NAME","TEXT","DATA_MODEL_URL","MINISTRY_NAME","DIVISION_NAME","BRANCH_NAME","SECTION_NAME","APPLICATION_CLASS_CODE"
AGMS,Angling Guide Management System - RETIRED,"Region 4 and 6 use this MS Access database for entering, querying, calculating, retrieving, and processing angling guide information.  See Notes regarding currency of information and usage of system.


Historically belonging to: Ministry of Forests, Lands, Natural Resource Operations and Rural Development, Resource Stewardship Division, Wildlife and Habitat Branch, Fish and Wildlife Policy

Historically belonging to: Ministry of Forests, Integrated Resource Operations Division, Fish and Wildlife Branch, N/A",,"Ministry of Water, Land and Resource Stewardship",Natural Resource Information & Digital Services,"Infrastructure, Operations and Project Services",Business Service Desk & Product Transition,STD
AGRIFS,Agriculture Farm Statistics (Inc Ag. Canada Stats) - RETIRED,"This is contains restricted access files provide by Stats Canada to the Ministry. Some of these files are use to produce the data provide all Ministry of Agriculture staff through the Web Access Data Management Tool (WEBADMT)

User Approval and Access
Application Manager must approve access to this application.

",,Ministry of Agriculture and Food,UNKNOWN,UNKNOWN,UNKNOWN,DS
AHA,AHA Roadmapping Tool,"No longer used by Business Area - License was not renewed in Jun 2023. 

Aha! is a cloud roadmapping tool used by the PPM team. It was established with 13 paid licenses (allow editing). Non-licensed users can be set up as Reviewers or Viewers (non-editing). 
Aha! should contain all active products listed on IRS (Workspaces), under a Ministry, Division, Branch hierarchy (Product Lines).
Contract Manager: Joey Lundgren
URL  https://bcnrm.aha.io/


Historically belonging to: Ministry of Water, Land and Resource Stewardship, Natural Resource Information & Digital Services, N/A, N/A",,"Ministry of Water, Land and Resource Stewardship",Natural Resource Information & Digital Services,"Infrastructure, Operations and Project Services",Business Service Desk & Product Transition,PAAS
AHTE,Angling Hunting Trapping Engagement,"Resource Stewardship Division
Terrestrial Species Recovery Branch

Public engagement website for regulations changes
The public is invited to comment on proposed angling, hunting, and trapping regulations through website engagement.",,"Ministry of Water, Land and Resource Stewardship",N/A,N/A,N/A,STD
AIILT,ArcIMS/IMF Layer Testing Prototype - RETIRED,"The ArcIMS Layer Performance Testing Prototype  will only be run in the Delivery
environment as a means of testing ArcIMS layers before they are promoted to Test and
Production. This script was designed as a proof-of-concept and will be progressed into test/prod through a project handled by the GIS team.

Historically belonging to: Ministry of Citizens Services, Digital Platforms and Data Division, Data Systems and Services, Data and Services - DataBC",,"Ministry of Water, Land and Resource Stewardship",Natural Resource Information & Digital Services,"Infrastructure, Operations and Project Services",Business Service Desk & Product Transition,STD
AIMS,Aboriginal Interests Mapping System,The AIMS application will support Provincial decision makers in meeting their constitutional obligation to consult First Nations where decisions or actions could potentially infringe on proven Aboriginal rights (including title) or treaty rights.,,"Ministry of Water, Land and Resource Stewardship","Reconciliation, Lands and Natural Resource Policy Division",NRS Reconciliation Policy and Strategies,N/A,ISSSCA
AIRFLOW,AIR FLOW WIND IMAGE - RETIRED,"The Wind Drift Air Flow project is JSP page which retrieves data from a database, and returns 
appropriate information to the user. In this case, the JSP creates an image from the data it 
retrieved returns the image file. In this case, it draws the wind drift velocity as well as 
the stations that make measurements. This is drawn onto a map of southern Vancouver Island and 
Vancouver.

2015-Dec-31 TQIN: BPM Linda Thomson requested to remove this app from IRS as it never went to PROD. Changed Status from Retirement in Progress to Retired.

Historically belonging to: Ministry of Environment and Climate Change Strategy, Environmental Sustainability and Strategic Policy, Knowledge Management Branch, Environmental and Climate Monitoring",,"Ministry of Water, Land and Resource Stewardship",Natural Resource Information & Digital Services,"Infrastructure, Operations and Project Services",Business Service Desk & Product Transition,STD
ALC,Agricultural Land Commission,The Agricultural Land Reserve (ALR) is a provincial zone in which agriculture is recognized as the priority use. Farming is encouraged and non-agricultural uses are controlled.,,Ministry of Agriculture and Food,Agricultural Land Commission,N/A,N/A,DS
ALMS,Agreement Lifecycle Management System (ALMS),"The Agreement Lifecycle Management System (ALMS) has several names, the most recent being STELLER. It performs two main functions. The first function is the treaty information management function, used to house policy and reference materials for treaties. Through this function, new treaties can be automatically compared to produce uniform, formatted treaties and related documentation products automatically. The second function is the treaty obligation tracking function, which allows government ministries to track and report on obligations arising from treaties. The ALMS application is also used to track the lifecycle of agreements other than treaties.",N/A,Ministry of Indigenous Relations and Reconciliation,Strategic Partnerships and Initiatives Division,"Treaty Relations, Implementation and Policy Branch",N/A,COTS
ALRAS,Aquaculture Licensing System (Open VMS/Alpha) - RETIRED,"Aquaculture Licensing System - Alpha OpenVMS, Powerhouse 7.10F4 Oracle RDB system. Sits on Earth.gov.bc.ca
2015-Nov-12 TQIN: confirmed by Linda Moore that the app had been retired some time ago. See note for more details.


Historically belonging to: Ministry of Forests, Lands, Natural Resource Operations and Rural Development, Regional Operations Division, Regional Operations, Coast Area, Aquaculture",,"Ministry of Water, Land and Resource Stewardship",Natural Resource Information & Digital Services,"Infrastructure, Operations and Project Services",Business Service Desk & Product Transition,STD
AMS2014,Aircraft Management System 2014 (AMS2014),"Users enter flight slips for reconciliation for bill-payment purposes. It also is used track which carriers and pilots have been deemed to have the correct certification and experience to work for us. A full suite of reports allows users to analyze data for many purposes.

Replaces original AMS (rewritten in newer technology)

Application Status re-verified by BPM: Nov 2019",,Ministry of Forests,BC Wildfire Service,N/A,N/A,STD
ANPROD,Seafood Statistics,An ms-access application (pulls data from FTLS) - detailed data set of seafood products and wholesale values - annual ,,Ministry of Agriculture and Food,"Science, Policy and Inspection Division",Corporate Policy & Priorities Branch,Sector Insights and Corporate Initiatives Unit,STD
AO,Aviation Occurrences,"This application will allow selected HPR employees to enter non-identifying information on aviation occurrences as they happen to allow for trend analysis and safety recommendations.  The data can be viewed by the general public.

RETIRED April 2014

Oct 2019: Changed status to `Retirement in Progress` to get around Outage Report bug.",,Ministry of Forests,BC Wildfire Service,N/A,N/A,STD
APB,Application Bulletins,"MS Access based application stores information on Ministry of Forests apps, systems and networks. Users can sign up to receive bulletins by application:
* planned and un-planned service interruptions;
bug alerts;
* service upgrades;
* documentation updates;
* and other information of interest to the users.

The APB search page is available on the ministry WWW, GWW and ICW web sites and each displays the appropriate bulletins to the audience; the ICW version displays all bulletins while the WWW version displays only bulletins tagged for the public.

An Administration page is available for adding new applications/systems and new bulletin types. This page is available only to the APB application custodians.

An APB Input page is available to application custodians and help desk staff to add new bulletins or to edit or delete existing bulletins.",,"Ministry of Water, Land and Resource Stewardship",Natural Resource Information & Digital Services,"Infrastructure, Operations and Project Services",Business Service Desk & Product Transition,LW
APIX,Air PICTURES - RETIRED,"It contains the photos edit & entry for the air sites.  Will be retired when the new AIR system replaces ADaMS.

This app uses data from the AQIIS and AMQARS schemas.

Historically belonging to: Ministry of Environment and Climate Change Strategy, Environmental Sustainability and Strategic Policy, Knowledge Management Branch, Environmental and Climate Monitoring",,"Ministry of Water, Land and Resource Stewardship",Natural Resource Information & Digital Services,"Infrastructure, Operations and Project Services",Business Service Desk & Product Transition,STD
APM,NRM Application Performance Metrics,"OpenSearch is a family of software consisting of a search engine, and OpenSearch Dashboards; a data visualization dashboard for that search engine.
Application logs and metrics are ingested into OpenSearch via Fluent Bit. NRIDS teams, clients, and developers use OpenSearch Discovery and Dashboards to understand server and application use and performance.
Alerts and anomaly detection, provided thru OpenSearch, allow teams to proactively address potential issues.
Address is https://apm.io.nrs.gov.bc.ca/_dashboards/app/home#/
Confluence Space - https://apps.nrs.gov.bc.ca/int/confluence/display/1TEAM/Observability",,"Ministry of Water, Land and Resource Stewardship",Natural Resource Information & Digital Services,"Infrastructure, Operations and Project Services",Application Infrastructure,PAAS
APPFILES,Application Files Service for the Natural Resource Sector,Line-of-busines application data storage domain for the Natural Resource Sector. Use to manage all storage excluding client server databases,,"Ministry of Water, Land and Resource Stewardship",Natural Resource Information & Digital Services,"Infrastructure, Operations and Project Services",Application Infrastructure,DS
APP_GC,GeoCoding Application - RETIRED,"The Civic Address Geocoding service provides standardized, accurate, up-to-date locations for B.C. civic addresses. The service accepts an input (B.C.) address, and returns the coordinates of the location of that address. In the case where an input address returns multiple location matches, a list of all possible matches is returned with a match confidence value for each of them. Users can also customize the search results with a number of optional parameters. 
The BC Digital Road Atlas (DRA) is used to perform geocoding operations. 

The DRA is the authoritative source for provincial road data with respect to geocoding addresses.
*updated BPM September 16, 2015 - KK


Historically belonging to: Ministry of Citizens Services, Digital Platforms and Data Division, Data Systems and Services, Data and Services - DataBC

Historically belonging to: Ministry of Citizens Services, Digital Platforms and Data Division, Data Systems and Services, Data and Services - DataBC",,"Ministry of Water, Land and Resource Stewardship",Natural Resource Information & Digital Services,"Infrastructure, Operations and Project Services",Business Service Desk & Product Transition,STD
APS,Air Photo System - Indices Data Base,"The Air Photo System provides an ORACLE database for creating air photo indices, storing metadata and flying program administration information that meets both government and private sector requirements for both the acquisition of aerial photography and accessing the inventory data of aerial photography captured by the Province.",https://erstudio.nrs.gov.bc.ca/getDiagImage.spg?image=70f97a7ada47420d9c43806b4794c934,"Ministry of Water, Land and Resource Stewardship",Natural Resource Information & Digital Services,Foundational Information and Technology,Base Mapping & Remote Sensing Section,STD
APS_AT,Air Photo - Triangulation,"Air Photo - Triangulation

Dependent on APS (retirement in progress)",,"Ministry of Water, Land and Resource Stewardship",UNKNOWN,UNKNOWN,UNKNOWN,STD
APS_IMF,Air Photo System Web Mapping Application - RETIRED,"This IMF site displays the geographical location and attribute data of Aerial Photography in the Provincial Air Photo Archive. Each numbered photo centre represents the theoretical centre of a frame on a numbered roll of film. A roll number and frame number together indicates a unique photograph. For further information about Aerial Photography in British Columbia, please visit the Air Photo and Lab Services Web site. 


Historically belonging to: Ministry of Forests, Lands, Natural Resource Operations and Rural Development, Integrated Resource Operations Division, GEOBC, Base Mapping

Historically belonging to: Ministry of Water, Land and Resource Stewardship, UNKNOWN, UNKNOWN, UNKNOWN",,"Ministry of Water, Land and Resource Stewardship",Natural Resource Information & Digital Services,"Infrastructure, Operations and Project Services",Business Service Desk & Product Transition,STD
APS_WHSE,AIR PHOTO SYSTEM Warehouse,"(Application Layer only) The Air Photo System warehouse (APS_WHSE) provides an ORACLE database for warehousing of created air photo indices, stored metadata and flying program administration information that meets both government and private sector requirements for both the acquisition of aerial photography and accessing the inventory data of aerial photography captured by the Province.",,"Ministry of Water, Land and Resource Stewardship",UNKNOWN,UNKNOWN,UNKNOWN,STD
APT2,Apportionment System,"This application will track the Allowable Annual Cut set for each Managed Unit (TSA, TFL, WL etc.) by the Chief Forester. It also tracks how that volume is apportioned to various forms of tenure, by the Minister. APT is a web based application, updated by RTE staff, and accessed by HQ, Region and District staff.",https://erstudio.nrs.gov.bc.ca/getDiagImage.spg?image=7e772febe33644a99635c9bfab69866e,Ministry of Forests,Integrated Resource Operations Division,Forest Tenures Branch,UNKNOWN,STD
APTS,Archaeology Permit Tracking System -e-Licensing,"Archaeology Permit Tracking System. A portion of the E-Licensing Application. See ELIC. 

April 21, 2023 - APTS went into production today. This release was not tracked using an RFC. The release included a change to the secure FTP.

APTS transfers data to the Kings Printer (they host the Report Library) in a nightly batch job, using FTP. The Kings Printer replaced their FTP server, with a new secure FTP server. So, the protocol used to transfer was re-written to accommodate this secure protocol. The vendor (Computronix did the work).

New SFTP Server (same server for both test and production).

Drive.kp.gov.bc.ca
Nightly Batch File data pull from Kings Printer to APTS.",,Ministry of Forests,Forest Resiliency and Archaeology Division,Archaeology Branch,N/A,COTS
AQHI,Air Quality and Health Index,"The application provides Air Quality Health Index information for a city or region. AQHI provides summary values on its web page but it also has what appears to be an iMapBC implementation.
Used as umbrella application for the legacy AIR releases. Includes hourly XML feed in support of the Air Quality Online website. ",https://erstudio.nrs.gov.bc.ca/getDiagImage.spg?image=852ef41af07b43edbb4e268db5c37bec,Ministry of Environment and Climate Change Strategy,Environmental Protection,Environmental Monitoring and Analysis,"Lab Services, Data Management & Reporting",STD
AQI,Air Quality Information System - RETIRED,"Provided air quality data to the public prior to AQO & DR DAS. Some functionality still in use. Specifically providing data feed (AIRWdata.csv) to Environment Canada via FTP.

Historically belonging to: Ministry of Environment and Climate Change Strategy, Environmental Sustainability and Strategic Policy, Knowledge Management Branch, Environmental and Climate Monitoring",,"Ministry of Water, Land and Resource Stewardship",Natural Resource Information & Digital Services,"Infrastructure, Operations and Project Services",Business Service Desk & Product Transition,STD
AQRT,Aquarius Reporting Tool,"The Aquarius reporting tool is a separate application but has a direct linkage to the application Aquarius. This tool will be used to report out on Aquarius. 

The AQRT system is dependent on the AQTS database.   There are numerous ArcGIS online applications that use data from and charts from AQRT including the West Coast Stream Watch, Thomson-Okanagan Drought Response Current Conditions report, groundwater, snow, lake monitoring & hydrometric interactive maps

Recently moved to a cloud based Software as a Service license model. The vendor Aquatic Informatics releases new versions of AQRT on a regular basis.

The Aquarius Time-Series (AQTS) database is the province`s primary repository of continuous surface, groundwater and snow data from monitoring stations across the province. AQRT is a browser-based information and data presentation system that allows timely access to snow and water monitoring data contained in AQTS. The interactive map based tool displays locations of monitoring stations, allows for data export, creating & viewing charts & reports.
",,Ministry of Environment and Climate Change Strategy,Environmental Protection,Environmental Monitoring and Analysis,"Lab Services, Data Management & Reporting",COTS
AQT,Account Query Tool,"This tool is a Java application designed to help DBA`s, business analysts and application administrators track database accounts. The Account Query Tool provides a way to query multiple accounts across all ministry databases.

https://c55.im.gov.bc.ca/BCG_PROD/Copperleaf5/Modules/InvestmentEntities/AssetDetail.aspx?assetId=13367",,"Ministry of Water, Land and Resource Stewardship",Natural Resource Information & Digital Services,"Infrastructure, Operations and Project Services",Application Infrastructure,STD
AQTS,Aquarius Time Series Server,"AQTS is a suite of scripts running data into Aquarius, and reporting data to the Provincial Data Catalogue.

The Aquarius Server is a data management platform that provides water agencies with a centralized and optimized solution that enables fast and easy access to the varied data sets that are part of an integrated environmental monitoring program.

The Aquarius Time Series Service is licensed as service hosted at Amazon Web Services, is know as Aquarius Next Generation, and integrated with IDIR for authentication.

The Aquarius Time Series Database is the database of record for the Provincial Groundwater Observation Well Network, The Snow Survey Program and the Provincial Hydrometric Program.  The time series data base also contains continuous water quality data and water data from third party data providers including local Governments, industry and First Nations.
  
The data in AQTS is used for: 
 - Providing time critical reporting of water quality, quantity and snow information.
 - Providing / developing better analytical tools and forecast models to aid forecasting and support risk management / decision making.
 - Supporting public and partner organization requests for information and data

AQTS relies on decoded telemetry data from the DCS Toolkit.  Manual Snow Survey results are reported to BC Hydro in near real time. Data from AQTS is essential to River Forecast Centre flood and drought forecasting.  Some local Governments including Reginal District of Nanaimo and the City of Dawson Creek rely on AQTS for management and distribution of time series water data.

The AQTS database is now hosted in the cloud by Aquatic Informatics as a Software as a Service.

New versions of the database are provided by the vendor, Aquatic Informatics.
",,Ministry of Environment and Climate Change Strategy,Environmental Protection,Environmental Monitoring and Analysis,"Lab Services, Data Management & Reporting",STD
AQTSMSS,Aquarius Manual Snow Survey,"Aquarius is a standard application. Allows a new development of a data form for users to manually enter snow data via webform though Siteminder and Basic BCeID to the Aquarius application. The outgoing data is reported through the BC Data Catalogue by AQTS

The Manual Snow Survey Form is a web based application used by manual snow survey contractors across the Province to enter snow depth information into the Aquarius Time Series database through a web browser during prescribed periods from January until June each year.

The system is dependent on the Aquarius Time Series Database (AQTS).  The reports generated from AQTS containing manual snow survey data are published to the BC data catalogue where they are ingested by BC Hydro, the River Forecast Centre, ENV ArcGIS online applications and other systems.

The application has recently been updated to work with the cloud based version of Aquarius NG.  Ongoing maintenance and minor functionality changes may be required over time.",,Ministry of Environment and Climate Change Strategy,Environmental Protection,Environmental Monitoring and Analysis,"Lab Services, Data Management & Reporting",STD
AQUA,Water Licensing System,"TBD - MPM Follow-up w/Client

THIS Naked Entry in IRS should not exist. Kirsten commented in PMO-10094 ticket - notifying entry to be updated or deleted (Feb. 9 2024).",,"Ministry of Water, Land and Resource Stewardship",N/A,N/A,N/A,STD
